19/03/09 01:12:37 INFO client.RMProxy: Connecting to ResourceManager at hcluster-1-m/10.138.0.2:8032
19/03/09 01:12:37 INFO client.AHSProxy: Connecting to Application History server at hcluster-1-m/10.138.0.2:10200
19/03/09 01:12:38 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/09 01:12:44 INFO input.FileInputFormat: Total input files to process : 74
19/03/09 01:12:44 INFO mapreduce.JobSubmitter: number of splits:74
19/03/09 01:12:44 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/09 01:12:44 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1552090565601_0001
19/03/09 01:12:45 INFO impl.YarnClientImpl: Submitted application application_1552090565601_0001
19/03/09 01:12:46 INFO mapreduce.Job: The url to track the job: http://hcluster-1-m:8088/proxy/application_1552090565601_0001/
19/03/09 01:12:46 INFO mapreduce.Job: Running job: job_1552090565601_0001
19/03/09 01:12:57 INFO mapreduce.Job: Job job_1552090565601_0001 running in uber mode : false
19/03/09 01:12:57 INFO mapreduce.Job:  map 0% reduce 0%
19/03/09 01:13:17 INFO mapreduce.Job:  map 2% reduce 0%
19/03/09 01:13:22 INFO mapreduce.Job:  map 5% reduce 0%
19/03/09 01:14:06 INFO mapreduce.Job:  map 6% reduce 0%
19/03/09 01:14:10 INFO mapreduce.Job:  map 7% reduce 0%
19/03/09 01:14:16 INFO mapreduce.Job:  map 8% reduce 0%
19/03/09 01:14:36 INFO mapreduce.Job:  map 9% reduce 0%
19/03/09 01:14:40 INFO mapreduce.Job:  map 10% reduce 0%
19/03/09 01:14:47 INFO mapreduce.Job:  map 11% reduce 0%
19/03/09 01:14:54 INFO mapreduce.Job:  map 12% reduce 0%
19/03/09 01:14:59 INFO mapreduce.Job:  map 13% reduce 0%
19/03/09 01:15:07 INFO mapreduce.Job:  map 14% reduce 0%
19/03/09 01:15:23 INFO mapreduce.Job:  map 15% reduce 0%
19/03/09 01:15:35 INFO mapreduce.Job:  map 16% reduce 0%
19/03/09 01:15:40 INFO mapreduce.Job:  map 17% reduce 0%
19/03/09 01:15:46 INFO mapreduce.Job:  map 18% reduce 0%
19/03/09 01:15:52 INFO mapreduce.Job:  map 19% reduce 0%
19/03/09 01:16:01 INFO mapreduce.Job:  map 20% reduce 0%
19/03/09 01:16:10 INFO mapreduce.Job:  map 21% reduce 0%
19/03/09 01:16:15 INFO mapreduce.Job:  map 22% reduce 0%
19/03/09 01:16:26 INFO mapreduce.Job:  map 23% reduce 0%
19/03/09 01:16:34 INFO mapreduce.Job:  map 24% reduce 0%
19/03/09 01:16:50 INFO mapreduce.Job:  map 25% reduce 0%
19/03/09 01:16:59 INFO mapreduce.Job:  map 26% reduce 0%
19/03/09 01:17:00 INFO mapreduce.Job:  map 27% reduce 0%
19/03/09 01:17:12 INFO mapreduce.Job:  map 28% reduce 0%
19/03/09 01:17:18 INFO mapreduce.Job:  map 29% reduce 0%
19/03/09 01:17:19 INFO mapreduce.Job:  map 30% reduce 0%
19/03/09 01:17:36 INFO mapreduce.Job:  map 31% reduce 0%
19/03/09 01:17:43 INFO mapreduce.Job:  map 32% reduce 0%
19/03/09 01:17:57 INFO mapreduce.Job:  map 33% reduce 0%
19/03/09 01:18:01 INFO mapreduce.Job:  map 34% reduce 0%
19/03/09 01:18:04 INFO mapreduce.Job:  map 35% reduce 0%
19/03/09 01:18:13 INFO mapreduce.Job:  map 36% reduce 0%
19/03/09 01:18:26 INFO mapreduce.Job:  map 37% reduce 0%
19/03/09 01:18:29 INFO mapreduce.Job:  map 38% reduce 0%
19/03/09 01:18:42 INFO mapreduce.Job:  map 39% reduce 0%
19/03/09 01:18:47 INFO mapreduce.Job:  map 40% reduce 0%
19/03/09 01:18:58 INFO mapreduce.Job:  map 41% reduce 0%
19/03/09 01:19:07 INFO mapreduce.Job:  map 42% reduce 0%
19/03/09 01:19:11 INFO mapreduce.Job:  map 43% reduce 0%
19/03/09 01:19:18 INFO mapreduce.Job:  map 44% reduce 0%
19/03/09 01:19:28 INFO mapreduce.Job:  map 45% reduce 0%
19/03/09 01:19:36 INFO mapreduce.Job:  map 46% reduce 0%
19/03/09 01:19:49 INFO mapreduce.Job:  map 47% reduce 0%
19/03/09 01:19:56 INFO mapreduce.Job:  map 48% reduce 0%
19/03/09 01:20:13 INFO mapreduce.Job:  map 49% reduce 0%
19/03/09 01:20:14 INFO mapreduce.Job:  map 50% reduce 0%
19/03/09 01:20:16 INFO mapreduce.Job:  map 51% reduce 0%
19/03/09 01:20:23 INFO mapreduce.Job:  map 52% reduce 0%
19/03/09 01:20:38 INFO mapreduce.Job:  map 53% reduce 0%
19/03/09 01:20:39 INFO mapreduce.Job:  map 54% reduce 0%
19/03/09 01:20:55 INFO mapreduce.Job:  map 55% reduce 0%
19/03/09 01:20:59 INFO mapreduce.Job:  map 56% reduce 0%
19/03/09 01:21:05 INFO mapreduce.Job:  map 57% reduce 0%
19/03/09 01:21:19 INFO mapreduce.Job:  map 58% reduce 0%
19/03/09 01:21:21 INFO mapreduce.Job:  map 59% reduce 0%
19/03/09 01:21:25 INFO mapreduce.Job:  map 60% reduce 0%
19/03/09 01:21:36 INFO mapreduce.Job:  map 61% reduce 0%
19/03/09 01:21:42 INFO mapreduce.Job:  map 63% reduce 0%
19/03/09 01:22:06 INFO mapreduce.Job:  map 64% reduce 0%
19/03/09 01:22:19 INFO mapreduce.Job:  map 66% reduce 0%
19/03/09 01:22:25 INFO mapreduce.Job:  map 67% reduce 0%
19/03/09 01:22:29 INFO mapreduce.Job:  map 68% reduce 0%
19/03/09 01:22:37 INFO mapreduce.Job:  map 69% reduce 0%
