URL,SIZE(bytes),NO OF OUTLINKS,CONTENT-TYPE
https://www.theguardian.com/us,941632,262,text/html
https://www.theguardian.com/us/environment,818060,215,text/html
https://www.theguardian.com/us-news/2019/feb/15/trump-national-emergency-speech-white-house-sketch,942736,139,text/html
https://www.theguardian.com/us-news/2019/feb/11/green-new-deal-alexandria-ocasio-cortez-ed-markey,924220,142,text/html
https://www.theguardian.com/us-news/montana,718941,161,text/html
https://www.theguardian.com/us-news/2019/feb/15/trump-national-emergency-border-wall-congress,949683,149,text/html
https://www.theguardian.com/us-news/new-york,716801,167,text/html
https://www.theguardian.com/us-news/2017/may/02/keystone-xl-pipeline-route-water-native-american-reserves,985314,151,text/html
https://www.theguardian.com/us-news/2018/oct/21/trump-playful-assault-guardian-reporter-ben-sasse,926163,148,text/html
https://www.theguardian.com/us-news/2017/may/02/keystone-xl-pipeline-nebraska-public-meeting-protests,955422,154,text/html
https://www.theguardian.com/us-news/2019/jan/30/government-contractors-shutdown-effects-back-pay,945994,146,text/html
https://www.theguardian.com/us-news/us-congress,723256,169,text/html
https://www.theguardian.com/us/technology,835407,208,text/html
https://www.theguardian.com/us-news/2019/jan/10/government-shutdown-gofundme-employee-assistance-trump,933116,140,text/html
https://www.theguardian.com/us-news/2017/jan/17/planned-parenthood-congress-wisconsin-texas,953520,152,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/13/all,632281,129,text/html
https://www.theguardian.com/us-news/2017/jan/24/keystone-xl-dakota-access-pipelines-revived-trump-administration,957562,163,text/html
https://www.theguardian.com/us-news/2018/oct/19/trump-greg-gianforte-guardian-reporter-assault,924656,148,text/html
https://www.theguardian.com/us-news/us-midterm-elections-2018,779142,187,text/html
https://www.theguardian.com/us-news/2017/nov/17/greg-gianforte-guardian-reporter-ben-jacobs-assault,931541,140,text/html
https://www.theguardian.com/us-news/series/keystone-xl-driving-the-us-pipeline-route,665853,138,text/html
https://www.theguardian.com/us-news/2019/jan/15/us-mexico-border-trump-wall-dispatch,1029269,191,text/html
https://www.theguardian.com/us-news/maryland,716922,162,text/html
https://www.theguardian.com/us-news/2019/feb/15/bill-weld-republican-2020-presidential-nomination-trump,924333,139,text/html
https://www.theguardian.com/us-news/2017/may/03/keystone-pipeline-protests-land-rights-south-dakota,973313,143,text/html
https://www.theguardian.com/us-news/us-mexico-border,684706,149,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/11/all,631985,129,text/html
https://www.theguardian.com/us-news/2017/jun/12/republican-greg-gianforte-sentenced-assaulting-guardian-reporter,932116,140,text/html
https://www.theguardian.com/us-news/2019/jan/11/governmnet-shutdown-black-federal-workers-trump-border-wall,938596,148,text/html
https://www.theguardian.com/us-news/2016/dec/04/dakota-access-pipeline-permit-denied-standing-rock,979972,159,text/html
https://www.theguardian.com/us-news/2019/feb/15/white-house-sarah-sanders-interview-special-counsel,917220,129,text/html
https://www.theguardian.com/us-news/2017/jan/09/obamacare-repeal-replacement-plan-mitch-mcconnell,937640,137,text/html
https://www.theguardian.com/us-news/2019/feb/15/new-york-city-fast-food-employers-unfair-termination,963425,153,text/html
https://www.theguardian.com/us-news/2019/jan/30/government-shutdown-brain-drain-private-sector,924247,136,text/html
https://www.theguardian.com/us-news/missouri,712350,161,text/html
https://www.theguardian.com/us-news/montana?page=4,716536,162,text/html
https://www.theguardian.com/us-news/2018/oct/13/them-review-ben-sasse-trump,941383,149,text/html
https://www.theguardian.com/us-news/2016/nov/29/standing-rock-protest-north-dakota-shutdown-evacuation,954839,157,text/html
https://www.theguardian.com/us-news/2019/feb/08/trump-administration-labor-google-lawsuit-gender-pay-gap,941014,153,text/html
https://www.theguardian.com/us-news/2017/jun/12/ben-jacobs-greg-gianforte-sentence-free-press,915974,132,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/09/all,632240,130,text/html
https://www.theguardian.com/us-news/2019/jan/26/end-of-shutdown-federal-workers-debts-credit-shattered-trust,935972,137,text/html
https://www.theguardian.com/us-news/montana?page=3,701749,158,text/html
https://www.theguardian.com/us-news/usimmigration,704762,160,text/html
https://www.theguardian.com/us-news/live/2019/feb/06/trump-news-latest-live-state-of-the-union-reaction-sotu-2019-democrats-ocasio-cortez,1045179,233,text/html
https://www.theguardian.com/us-news/us-senate,682740,148,text/html
https://www.theguardian.com/us-news/montana?page=2,710290,157,text/html
https://www.theguardian.com/us-news/2016/oct/26/donald-trump-dakota-access-pipeline-investment-energy-transfer-partners,935718,162,text/html
https://www.theguardian.com/us-news/2018/sep/06/donald-trump-montana-rally-new-york-times-treason-claim,919708,134,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/15/all,640257,134,text/html
https://www.theguardian.com/us-news/2019/feb/13/government-shutdown-donald-trump-tension-border-wall,930629,148,text/html
https://www.theguardian.com/us/commentisfree,741618,174,text/html
https://www.theguardian.com/us-news/republicans,720540,171,text/html
https://www.theguardian.com/us-news/2019/feb/08/donald-trump-manhattan-new-york-grand-hyatt,919292,131,text/html
https://www.theguardian.com/us-news/2018/nov/06/us-midterms-11-senate-races-to-watch,944486,150,text/html
https://www.theguardian.com/us-news/2017/may/10/dakota-access-pipeline-first-oil-leak,972614,158,text/html
https://www.theguardian.com/us-news/2018/nov/25/john-kasich-sherrod-brown-2020-presidential-election-democrats-republicans,937001,149,text/html
https://www.theguardian.com/us-news/2018/aug/24/montana-midterms-kathleen-williams-greg-gianforte,986725,155,text/html
https://www.theguardian.com/us-news/2017/jan/24/standing-rock-resistance-donald-trump-executive-order,975689,164,text/html
https://www.theguardian.com/us-news/2019/feb/10/anti-opioid-protesters-target-new-yorks-guggenheim-over-sackler-family-link,951727,149,text/html
https://www.theguardian.com/us-news/2019/feb/14/trump-declare-national-emergency-border-wall-mitch-mcconnell,955664,147,text/html
https://www.theguardian.com/us-news/donaldtrump,694184,154,text/html
https://www.theguardian.com/us-news/us-police,694575,153,text/html
https://www.theguardian.com/us-news/2017/apr/21/texas-kelcy-warren-environment-dakota-access-pipeline-ceo,966561,152,text/html
https://www.theguardian.com/us-news/2018/nov/06/midterms-ballot-measures-florida-voting-rights,959948,167,text/html
https://www.theguardian.com/us-news/new-york/2019/feb/14/all,631061,128,text/html
https://www.theguardian.com/us-news/video/2018/oct/19/laughter-as-trump-lauds-politicians-body-slam-of-journalist-video,890851,124,text/html
https://www.theguardian.com/us-news/2016/nov/12/hillary-clinton-james-comey-letters-emails-election-defeat,937574,153,text/html
https://www.theguardian.com/us-news/new-hampshire,725154,163,text/html
https://www.theguardian.com/us-news/2019/feb/11/ilhan-omar-antisemitic-tweets-house-democrats-apology,930281,153,text/html
https://www.theguardian.com/us-news/2019/feb/15/national-emergency-border-wall-trump-latest-news,946032,147,text/html
https://www.theguardian.com/us-news/us-federal-government-shutdown-2019,702225,158,text/html
https://www.theguardian.com/us-news/2017/mar/21/dakota-access-pipeline-ing-sells-stake-loan-standing-rock,958028,148,text/html
https://www.theguardian.com/us-news/us-elections-2020,726015,172,text/html
https://www.theguardian.com/us-news/2018/may/24/greg-gianforte-body-slam-inquiry-ben-jacobs-guardian-reporter,921406,130,text/html
https://www.theguardian.com/us-news/greg-gianforte,722083,163,text/html
https://www.theguardian.com/us-news/2019/feb/14/trump-2020-republicans-against-president-never-trumpers,935913,137,text/html
